Material,Description,Vendor,Part #,# needed,Link,,,
Components for maneuvering pellets:,,,,,,,,
Bipolar Stepper Motor 200 Step 0.35A 12VDC,stepper motor,Digi-Key,1528-1062-ND,2,https://www.digikey.com/product-detail/en/324/1528-1062-ND/5022791?WT.mc_id=IQ_7595_G_pla5022791&gclid=CM7zi4TT8dACFY-FswodGq0LJA&wt.medium=cpc&wt.srch=1,,,
Black Scratch-Resistant Acrylic 24 x 24 inches,black acrylic for laser cutter,McMaster-Carr,8505K744,1,https://www.mcmaster.com/8505k744-8505K143,,,
Access to 3D printer,3D printing (see .stl files),Harvard Instrumentation Core,,,,,,
Access to laser cutter,laser cut black acrylic (see .ai files),Harvard Instrumentation Core,,,,,,
"Ø1/2"" Post Holder, Spring-Loaded Hex-Locking Thumbscrew, L = 1.5""",structure,ThorLabs,PH1.5,3,https://www.thorlabs.com/thorproduct.cfm?partnumber=PH1.5#ad-image-0,,,
"PH1 - Ø1/2"" Post Holder, Spring-Loaded Hex-Locking Thumbscrew, L = 1""",structure,ThorLabs,PH1,2,https://www.thorlabs.com/thorproduct.cfm?partnumber=PH1#ad-image-0,,,
"BA1S - Mounting Base, 1"" x 2.3"" x 3/8""",structure,ThorLabs,BA1S,5,https://www.thorlabs.com/thorproduct.cfm?partnumber=BA1S,,,
"BA1 - Mounting Base, 1"" x 3"" x 3/8""",structure,ThorLabs,BA1,2,https://www.thorlabs.com/thorproduct.cfm?partnumber=BA1,,,
"DTS50 - 2"" Dovetail Translation Stage, 1/4""-20 Taps",structure,ThorLabs,DTS50,2,https://www.thorlabs.com/thorproduct.cfm?partnumber=DTS50,,,
"PH2 - Ø1/2"" Post Holder, Spring-Loaded Hex-Locking Thumbscrew, L = 2""",structure,ThorLabs,PH2,4,https://www.thorlabs.com/thorproduct.cfm?partnumber=PH2#ad-image-0,,,
"TR2 - Ø1/2"" Optical Post, SS, 8-32 Setscrew, 1/4""-20 Tap, L = 2""",structure,ThorLabs,TR2,7,https://www.thorlabs.com/thorproduct.cfm?partnumber=TR2,,,
